genome,group
marc.bacteremia.1134.a,13
marc.bacteremia.1115.a,13
Staph.bead.175,13
Staph.beads.647,13
Staph.beads.598,13
Staph.beads.726,13
Staph.beads.434,13
Staph.beads.529,13
Staph.bead.43,13
Staph.bead.44,13
Staph.bead.97,13
Staph.bead.37,13
marc.bacteremia.793.a,13
Staph.beads.504,13
Staph.beads.973a,13
marc.bacteremia.1178.a,13
Staph.beads.490,13
Staph.beads.373,13
marc.bacteremia.1981.a,13
marc.bacteremia.1977.a,13
Staph.bead.814a,13
Staph.bead.769a,13
Staph.beads.699,13
marc.bacteremia.590.a,13
Staph.bead.842a,13
Staph.bead.799a,13
Staph.bead.803a,13
marc.bacteremia.1389.a,13
Staph.bead.104,13
Staph.bead.31,14
Staph.bead.110,14
Staph.beads.916a,14
Staph.beads.994a,14
Staph.beads.998a,14
Staph.beads.932a,14
Staph.beads.938a,14
Staph.bead.18,14
Staph.bead.152,15
Staph.beads.372,15
Staph.beads.303,15
Staph.bead.217,15
Staph.beads.358,15
marc.bacteremia.1358.a,15
Staph.bead.156,15
Staph.beads.883a,15
Staph.bead.853a,15
marc.bacteremia.1359.a,15
marc.bacteremia.1355.a,15
marc.bacteremia.1289.a,15
marc.bacteremia.1285.a,15
marc.bacteremia.1293.a,15
marc.bacteremia.1288.a,15
marc.bacteremia.1283.a,15
marc.bacteremia.1291.a,15
Staph.beads.406,15
Staph.beads.421,15
Staph.beads.422,15
Staph.beads.413,15
Sta.aur.bead.47,15
marc.bacteremia.1090.a,16
Staph.beads.974a,16
marc.bacteremia.822.a,16
marc.bacteremia.814.a,16
Staph.bead.200,17
marc.bacteremia.548.a,18
marc.bacteremia.1383.a,18
Staph.bead.176,19
Staph.beads.955a,19
Staph.bead.133,19
Staph.bead.6,19
Staph.bead.131,19
Path_Reg_32,19
Sta.aur.bead.43,19
Staph.beads.447,19
Staph.beads.515,19
Staph.beads.977a,19
Staph.bead.226,19
Staph.bead.55,19
Staph.bead.61,19
Staph.beads.262,19
Staph.bead.92,19
Sta.aur.bead.21,19
Staph.bead.185,19
Staph.bead.76,19
Staph.bead.75,19
Staph.bead.134,19
Staph.bead.861a,19
Staph.bead.772a,19
marc.bacteremia.2077,19
marc.bacteremia.2093,19
Staph.beads.908a,19
Staph.bead.832a,19
Staph.beads.876a,19
Staph.beads.665,19
marc.bacteremia.2074,19
Staph.beads.671,19
Staph.beads.670,19
Staph.beads.680,19
Staph.beads.681,19
Staph.bead.777a,19
Staph.beads.562,19
Staph.beads.594,19
Sta.aur.bead.12,19
Staph.beads.389,19
Staph.beads.926a,19
Staph.beads.398,19
Staph.beads.339,19
Staph.bead.160,19
Staph.bead.159,19
Staph.beads.689,19
Staph.beads.546,19
Staph.beads.692,19
Staph.beads.676,19
Staph.beads.919a,19
Staph.beads.873a,19
Staph.beads.602,19
Sta.aur.bead.42,19
marc.bacteremia.1927.a,19
marc.bacteremia.1915.a,19
marc.bacteremia.1911.a,19
marc.bacteremia.1928.a,19
marc.bacteremia.1897.a,19
marc.bacteremia.1913.a,19
marc.bacteremia.1920.a,19
marc.bacteremia.1907.a,19
marc.bacteremia.1930.a,19
marc.bacteremia.1922.a,19
marc.bacteremia.1908.a,19
marc.bacteremia.1912.a,19
marc.bacteremia.1925.a,19
Staph.beads.395,19
Staph.beads.394,19
Staph.bead.243,19
Staph.beads.451,19
Staph.beads.980a,19
Staph.bead.51,19
Staph.bead.49,19
Staph.beads.985a,19
Staph.beads.923a,19
Staph.beads.553,19
Staph.beads.882a,19
Staph.bead.230,19
marc.bacteremia.512.a,19
marc.bacteremia.526.a,19
Path_Reg_67,19
marc.bacteremia.754.a,19
marc.bacteremia.752.a,19
Staph.beads.888a,19
marc.bacteremia.1357.a,19
marc.bacteremia.734.a,19
Staph.bead.864a,19
Staph.beads.962a,19
Staph.beads.986a,19
marc.bacteremia.1730.a,19
Staph.beads.650,19
Staph.beads.468,19
s.52.ori.yellow,19
Staph.beads.267,19
Staph.beads.914a,19
Path_Reg_62,19
Staph.bead.215,19
Staph.bead.213,19
Staph.beads.547,19
Staph.bead.117,19
marc.bacteremia.1347.a,19
Staph.beads.886a,19
marc.bacteremia.733.a,19
marc.bacteremia.760.a,19
marc.bacteremia.616.a,19
marc.bacteremia.917.a,19
marc.bacteremia.614.a,19
s.52.SACA.pink.2,19
marc.bacteremia.319.a,19
marc.bacteremia.309.a,19
marc.bacteremia.338.a,19
marc.bacteremia.333.a,19
marc.bacteremia.331.a,19
Staph.beads.991a,19
Staph.beads.903a,19
Staph.beads.867a,19
Staph.beads.481,19
Staph.beads.484,19
marc.bacteremia.234.a,19
marc.bacteremia.195.a,19
marc.bacteremia.632.a,19
marc.bacteremia.602.a,19
Staph.beads.391,19
Staph.beads.545,19
Staph.beads.961a,19
Staph.beads.953a,19
marc.bacteremia.762.a,19
marc.bacteremia.1152.a,19
Staph.beads.949a,19
marc.bacteremia.899.a,19
marc.bacteremia.896.a,19
Staph.bead.115,19
Staph.bead.66,19
Staph.bead.79,19
